13460,23247,26568,14645
19656,20309,19021,28318
10259,16553,8835,13815
19278,25740,29328,21828
20187,18382,21339,18567
12536,24651,19659,13397
25963,14770,25583,17711
21175,24651,20194,24021
14770,16846,18879,24506
25963,14770,25583,27167
25740,14894,12588,18574
17821,25241,19549,15436
16078,16846,18879,17047
13201,20187,19549,15436
20187,18382,21339,16685
23247,15243,26568,13893
23247,26568,13248,17410
14236,23247,26568,17725
15143,12624,19396,16078
23247,15243,26568,23734
14770,16846,18879,26681
15497,17527,20439,13939
12761,25963,25583,16685
24908,25242,25583,25476
24908,25583,25242,25476
29328,20205,30373,13422
15618,28964,29328,16442
12612,14588,12854,18630
16503,17882,19512,16770
8864,15383,13519,15922
26561,23100,19909,19138
26561,19909,23100,19138
16331,13311,15433,16192
25963,25583,18068,14052
31343,23247,26568,17410
12761,12624,19396,16078
29707,12624,17352,21944
26102,24651,19659,13397
13886,25241,19549,15436
24908,25583,25242,27167
16152,23247,26568,23734
24908,25242,25583,27167
18833,25740,17880,16908
13284,18336,25241,14337
13134,20187,12624,17423
16846,14950,27466,25702
14770,14300,25583,15431
16119,26721,28712,16266
27985,28814,19021,22856
26568,29852,22462,21802
16121,27859,13799,13947
14950,27809,26568,30197
14950,26568,27809,30197
18458,23149,17938,14566
15839,14699,20187,18567
25242,13328,25583,22515
12612,14588,12854,13116
16078,16846,18879,24506
16834,14334,22138,12724
13201,20187,19549,19688
14950,28712,19396,29736
25241,15455,18449,17667
26698,14334,22138,17713
25740,15618,29328,16442
16392,14334,22138,15523
25963,14770,14300,25583
20187,18382,16676,21339
27076,22962,22960,27821
25963,14300,17938,14711
25453,25963,25583,14052
26568,16078,29852,15688
13319,17352,25740,30852
30985,16119,28712,22082
26568,22462,21802,17185
27809,26568,15004,15444
26568,27809,15004,15444
20404,24908,25583,25242
16908,23100,27422,14702
19278,25740,29328,18945
14770,14300,18879,15431
28859,14950,23100,16189
25453,25963,25583,16685
13201,20187,19549,30455
25963,15860,18374,16959
16505,21339,27859,15243
12624,17352,21944,15728
19198,19278,25740,29328
26050,13328,26872,22500
15433,14174,19387,20408
21564,23247,26568,17410
26698,14334,22138,12724
13328,26050,26872,22500
25963,17773,13311,27930
14711,14770,16846,18072
14950,23100,27422,16189
24037,22138,12901,14006
25963,25583,13893,14005
14059,18336,30787,16269
28712,19549,15436,17498
19822,17527,28712,16959
20187,12761,25583,16685
20187,12967,14770,17110
15970,15005,13132,28342
24733,24651,17352,14005
15839,20187,14699,18567
20187,12761,12624,17874
16375,18449,26545,14591
15618,26568,17120,25478
29707,20187,12624,17605
20187,16249,16004,25903
14770,16846,15455,18072
29163,23247,26568,13248
28679,21302,17352,15373
18595,25241,19549,17498
16119,28712,18500,16266
25524,15440,25241,15436
25963,14300,25583,27421
19187,13102,24312,22508
20187,16004,16249,25903
15955,21339,27859,15243
15618,26568,21802,29908
25241,19549,15436,17498
14711,28712,29956,16777
26680,12624,26568,16078
16676,28712,19396,22082
25963,13311,17773,27930
17957,15005,18500,24021
21302,17420,17352,15373
15262,16846,14260,16073
14950,27422,22344,17109
14699,18922,26369,28774
13460,14236,23247,26568
15955,27441,21339,13248
21565,21319,28830,27963
19512,22962,21302,30061
17175,19387,14231,22711
17919,25583,13893,14005
13134,20187,12624,20689
14770,12761,25583,15431
18003,25241,19549,27568
16962,12624,17352,25077
12624,17531,26568,24124
14791,16515,18031,19991
15839,20187,18567,14699
25583,13558,25242,25476
24871,23247,26568,14645
20187,12761,19549,16685
13621,18264,13132,17957
29163,23247,26568,15139
16572,20187,12624,31333
